Version 1.0,"Warning!  Calc Price displays a value when Size 1 and Size 2 (if applicable) are entered.  Make sure to read what Size1 and Size2 refer to in the comments field, fill out the appropriate size values before using calc price.",,,,,,,,,,,,,,,,,
19-May-25,Warning! Check Added/Modified Date to make sure you have the current costs.  Some errors were found in the hose clamp equations in the calc price cell.,,,,,,,,,,,,,,,,,
Fastener ID,Fastener,Size 1,Unit 1,Size 2,Unit 2,Category,Supplier,c1,c2,Table Price,System,Category,Calc Price,Attachment,DateAdded/Modified,Mass,Comments,
,"Nut, Grade 12.9",,mm,,mm,Nut,,0.98,13.00,([C1]*EXP([C2]*[Size1])),,, ₹  0.98 ,,10-May-17,,"[Size1]=diameter (mm).  Special varities included (drilled head, locking, etc.).",
,"Nut, Grade 6.8 (SAE 3) and All Grades less than Metric 8.8",,mm,,mm,Nut,,0.46,13.00,([C1]*EXP([C2]*[Size1])),,, ₹  0.46 ,,10-May-17,,,
,"Nut, Grade 8.8 (SAE 5)",,mm,,mm,Nut,,0.59,13.00,([C1]*EXP([C2]*[Size1])),,, ₹  0.59 ,,10-May-17,,"[Size1]=diameter (mm).  Special varities included (drilled head, locking, etc.).",
,"Nut, Grade AN",,mm,,mm,Nut,,3.90,13.00,([C1]*EXP([C2]*[Size1])),,, ₹  3.90 ,,10-May-17,,"[Size1]=diameter (mm).  Special varities included (drilled head, locking, etc.).",
,"Nut, Grade NAS 12-Point",,mm,,mm,Nut,,19.50,13.00,([C1]*EXP([C2]*[Size1])),,, ₹  19.50 ,,10-May-17,,"[Size1]=diameter (mm). Special varities included (drilled head, locking, etc.).",
,"Nut, Grade NAS 6-Point",,mm,,mm,Nut,,7.80,13.00,([C1]*EXP([C2]*[Size1])),,, ₹  7.80 ,,10-May-17,,"[Size1]=diameter (mm).  Special varities included (drilled head, locking, etc.).",
,"Nut, Lug", ₹  26.00 ,unit,,,,,,,,,,,,10-May-17,,Any size,
,"Nut, Panel Retained",,unit,,mm,,,3.25,16.25,[Quantity]*([C1]*EXP([C2]*[Size1])),,, ₹  3.25 ,,10-May-17,,"Any type of nut with a retaining or anti-rotation feature for a panel (weldnut, etc.)", 
,Nutsert (J-Nut),,unit,,mm,,,3.25,16.25,[C1]*EXP([C2]*[Size1]),,, ₹  3.25 ,,10-May-17,,, 
,"Pin, Cotter, Straight", ₹  3.25 ,,,,,,,,,,,,,10-May-17,,All sizes up to 5mm diameter., 
,"Pin, Cotter, Hairpin", ₹  5.20 ,,,,,,,,,,,,,10-May-17,,All sizes up to 5mm wire diameter., 
,"Pin, Plastic Push", ₹  6.50 ,unit,,,,,,,,,,,,10-May-17,,Any size, 
,"Pin, Safety, Coiled Wire",,unit,,mm,,,0.59,26.00, [Quantity]*([C1]*[Size1]+[C2]) ,,, ₹  26.00 ,,10-May-17,,[Size1]=Usable length (mm).,
,"Pin, Safety, Square Retainer Snap",,unit,,mm,,,0.07,65.00, [Quantity]*([C1]*[Size1]*[Size2]+[C2]) ,,, ₹  65.00 ,,10-May-17,,"[Size1]=Pin Diameter (mm), [Size2]=Usable length (mm).",
,"Pin, Quick Release",,mm,,mm,,,0.07,910.00,[Quantity]*([C1]*[Size1]^2*[Size2]+[C2]),,, ₹  910.00 ,,10-May-17,,"[Size1]=Diameter (mm).  [Size2]=Usable Length.  Any style pin (T-handle, Ring Grip, etc.).",
,"Rivet, Pop", ₹  1.95 ,unit,,,Rivet,,,,,,,,,10-May-17,,Any diameter and length, 
,Safety Wire, ₹  -   ,unit,,,,,,,,,,,,10-May-17,,Included in labor cost., 
,"Stud, Grade 10.9 (SAE 8)",,mm,,mm,Stud,,65.00,0.26,[C1]/105154*[Size1]^2*[Size2]*SQRT([Size2])+([C2]*EXP(0.319*[Size1])),,, ₹  0.26 ,,,,"[Size1]=diameter (mm).  [Size2]=length (mm).    Strength 1030 Mpa.   Special varities included (drilled head, locking, etc.).", 
,"Stud, Grade 12.9",,mm,,mm,Stud,,81.25,0.33,[C1]/105154*[Size1]^2*[Size2]*SQRT([Size2])+([C2]*EXP(0.319*[Size1])),,, ₹  0.33 ,,,,"[Size1]=diameter (mm).  [Size2]=length (mm).    Strength 1170 Mpa.   Special varities included (drilled head, locking, etc.).", 
,"Stud, Grade 8.8 (SAE 5)",,mm,,mm,Stud,,52.00,0.20,[C1]/105154*[Size1]^2*[Size2]*SQRT([Size2])+([C2]*EXP(0.319*[Size1])),,, ₹  0.20 ,,,,"[Size1]=diameter (mm).  [Size2]=length (mm).    Strength 830 Mpa.   Special varities included (drilled head, locking, etc.).", 
,"Tapered Pin, Threaded (AN386)", ₹  162.50 ,unit,,,,,,,,,,,,10-May-17,,AN386 up to 6.35mm,
,Tie Wrap, ₹  2.60 ,unit,,,,,,,,,,,,10-May-17,,"Includes all styles and sizes of plastic cable ties including Cable Clamp, Zip Tie, etc.", 
,Thread Insert,,mm,,,,,6.50,, [Quantity]*([C1]*[Size1]) ,,,,,10-May-17,,[Size1]=nominal hole diameter (mm).,
,"Washer, Crush",,mm,,,,,,,,,,,,10-May-17,,This item is in the materials table under plumbing, 
,"Washer, Grade 10.9 (SAE 8)", ₹  1.30 ,unit,,,Washer,,,,,,,,,10-May-17,,"[Size1]=diameter (mm).  Any thickness.  Special varities included (drilled head, locking, etc.).", 
,"Washer, Grade 12.9", ₹  1.30 ,unit,,,Washer,,,,,,,,,10-May-17,,"[Size1]=diameter (mm).  Any thickness.  Special varities included (drilled head, locking, etc.).", 
,"Washer, Grade 6.8 (SAE 3) and All Grades less than Metric 8.8", ₹  0.65 ,unit,,,Washer,,,,,,,,,10-May-17,,"[Size1]=diameter (mm).  Any thickness.  Special varities included (drilled head, locking, etc.).", 
,"Washer, Grade 8.8 (SAE 5)", ₹  0.65 ,unit,,,Washer,,,,,,,,,10-May-17,,"[Size1]=diameter (mm).  Any thickness.  Special varities included (drilled head, locking, etc.).", 
,"Washer, Grade AN",,mm,,mm,Washer,,0.33,11.70,([C1]*EXP([C2]*[Size1])),,, ₹  0.33 ,,10-May-17,,"[Size1]=diameter (mm).  Any thickness.  Special varities included (drilled head, locking, etc.).", 
,"Washer, Grade NAS 12-Point",,mm,,mm,Washer,,0.33,23.40,([C1]*EXP([C2]*[Size1])),,, ₹  0.33 ,,10-May-17,,, 
,"Washer, Grade NAS 6-Point",,mm,,mm,Washer,,0.33,23.40,([C1]*EXP([C2]*[Size1])),,, ₹  0.33 ,,10-May-17,,"[Size1]=diameter (mm).  Any thickness.  Special varities included (drilled head, locking, etc.).",
,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Adapter, AN",,,,,,,,,,,"Fitting, AN",,,,,,
,"Coupling, AN",,,,,,,,,,,"Fitting, AN",,,,,,
,"Elbow, AN",,,,,,,,,,,"Fitting, AN",,,,,,
,"Tee, AN",,,,,,,,,,,"Fitting, AN",,,,,,
,"Cap, AN",,,,,,,,,,,"Fitting, AN",,,,,,
,"Plug, AN",,,,,,,,,,,"Fitting, AN",,,,,,
,"Nut, AN",,,,,,,,,,,"Fitting, AN",,,,,,
,"Sleeve, AN",,,,,,,,,,,"Fitting, AN",,,,,,
