"Materials Table.  Posted Version 1.0, 19-May-2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Added cost calculation,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Material ID,Material,Supplier,Category,Table Price,Unit 1,Unit 2,C1,C2,Size1,Size2,Calc Value,Modified,Comments
,Fitting/L.P./Tube Nut//Aluminum/Anodized,,Plumbing,[C1]*[Size1]+[C2],mm,,23.92,-87.1,0,,-87.1,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Fitting/L.P./Tube Nut//Steel/,,Plumbing,[C1]*[Size1]+[C2],mm,,7.15,111.15,0,,111.15,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Fitting/L.P./Tube Sleeve//Aluminum/Anodized,,Plumbing,[C1]*[Size1]+[C2],mm,,11.7,0,0,,0,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Fitting/L.P./Tube Sleeve/Brass,,Plumbing,[C1]*[Size1]+[C2],mm,,4.55,0,0,,0,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Fitting/L.P./Tube Sleeve/Steel/,,Plumbing,[C1]*[Size1]+[C2],mm,,14.95,0,0,,0,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,"Grease Nipple, 45 Deg.",,Plumbing,32.5,unit,,,,,,,2017-05-10 00:00:00,Any size up to 6.35mm
,"Grease Nipple, 90 Deg.",,Plumbing,32.5,unit,,,,,,,2017-05-10 00:00:00,Any size up to 6.35mm
,"Grease Nipple, Straight",,Plumbing,32.5,unit,,,,,,,2017-05-10 00:00:00,Any size up to 6.35mm
,"Hose, High Pressure, Stainless Steel Braided Outer",,Plumbing,[C1]*[Size1]+[C2],mm,,160.55,-176.15,0,,-176.15,2017-05-10 00:00:00,"[Size1]=Hose Size (mm).  Cost is per meter of hose.  Hydraulic, CO2, etc. up to 20.7 Mpa."
,"Hose, Low Pressure, Fabric Outer",,Plumbing,[C1]*[Size1]+[C2],mm,,210.6,631.8,0,,631.8,2017-05-10 00:00:00,"[Size1]=Hose Size (mm).  Cost is per meter of hose.  Fuel, oil, coolant, air, etc. up to 7 Mpa.  "
,"Hose, Low Pressure, Stainless Steel Braided Outer",,Plumbing,[C1]*[Size1]+[C2],mm,,144.95,228.8,0,,228.8,2017-05-10 00:00:00,"[Size1]=Hose Size (mm).  Cost is per meter of hose.  Fuel, oil, coolant, air, etc. up to 7 Mpa.  "
,"Hose, Low Presure, Fabric Outer, Socketless",,Plumbing,[C1]*[Size1]+[C2],mm,,64.35,292.5,0,,292.5,2017-05-10 00:00:00,"[Size1]=Hose Size (mm).  Cost is per meter of hose.   Fuel, oil, coolant, air, etc. up to 1.7 Mpa."
,"Hose, Polyurethane",Any,Plumbing,[C1]*[Size1]+[C2],mm,m,4.55,0,0,0,0,2017-05-10 00:00:00,[Size1]=Outer Diameter (mm).  Price per meter of hose (m).   Same cost with and without fiber reinforcement.  For very low pressure applications such as pneumatic shfiters after regulator.
,"Hose, Rubber",Any,Plumbing,[C1]*[Size1]+[C2],mm,m,11.7,0,0,0,0,2017-05-10 00:00:00,"[Size1]=Outer Diameter (mm).  Price per meter of hose (m).   Same cost with and without fiber reinforcement.  For very low pressure applications (cooling system, vacuum, carbereutered fuel systems, etc.)"
,"Hose, Rubber",,Plumbing,[C1]*[Size1]+[C2],mm,,11.7,0,0,,0,2017-05-10 00:00:00,"[Size1]=Outer Diameter (mm).  Price per meter of hose (m).  Same cost with and without fiber reinforcement.  For very low pressure applications (cooling system, vacuum, carbereutered fuel systems, etc.)"
,"Hose, Silicone",Any,Plumbing,[C1]*[Size1]+[C2],mm,m,30.55,0,0,0,0,2017-05-10 00:00:00,"[Size1]=Outer Diameter (mm).  Price per meter of hose (m).   Same cost with and without fiber reinforcement.  For very low pressure applications (cooling system, vacuum, carbereutered fuel systems, etc.)"
,Locknut/L.P.///Steel/,0.126,Plumbing,[C1]*[Size1]+[C2],mm,,8.19,102.05,0,,102.05,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Locknut/L.P./Flare//Aluminum/Anodized,0.385,Plumbing,[C1]*[Size1]+[C2],mm,,25.025,52,0,,52,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Plug/L.P./Flare//Steel/,0.312,Plumbing,[C1]*[Size1]+[C2],mm,,20.28,58.825,0,,58.825,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Plug/L.P./O-Ring Boss//Aluminum/Anodized,0.38,Plumbing,[C1]*[Size1]+[C2],mm,,24.7,352.17,0,,352.17,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Plug/L.P./Pipe/Allen Head/Aluminum/Anodized,0.36,Plumbing,[C1]*[Size1]+[C2],mm,,23.4,115.7,0,,115.7,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,"Rotating Union, GAT, Rotodisk",GAT,Plumbing,30745,unit,,,,,,,2017-05-10 00:00:00,
